Unnamed: 0,sample,Observed,Chao1,Shannon,Simpson,simpson_e,PD_whole_tree,Fisher,ACE,pH,Mositure,TC,TN,C.N,Nitrate,Ammonium,OM,Sand,Clay,Silt,Population.Density,Large.Park,Small.Park,Two.Way.Street,One.Way.Street,Residential.Area,Density2,longitude,latitude,Population Density,Relative Deprivation,Tropospheric Nitrogen Dioxide Emissions,Fossil Fuel CO2 emissions,Rurality,Koppen Geiger
81,81,3835.0,6349.082555,7.43989817,0.9982022760000001,0.151423941,126.5287775,1933.004935,7031.694711,7.22,0.232183878,8.61,0.72,11.95833333,42.85,8.35,13.61,40,20,40,10844.7112,0,0,1,0,0,4,-87.7,41.79,8945.6611328125,30,0.00010963820000000001,606.5517578125,urban centre,"Cold, no dry season, hot summer"
82,82,4194.75,6637.021602,7.571450604,0.9984098060000001,0.15290826100000002,138.168835,2033.285001,7094.62187,7.03,0.19350852000000002,8.16,0.72,11.33333333,35.04,10.04,14.89,58,16,26,13244.78359,0,0,1,0,0,4,-87.67,42.02,9661.49609375,27,0.00010986040000000001,223.6747283936,urban centre,"Cold, no dry season, hot summer"
83,83,3955.4,6336.6757,7.5355990340000005,0.998360436,0.167796741,133.302076,2023.587491,6885.129604,7.15,0.180336813,7.72,0.71,10.87323944,30.97,7.54,12.39,28,30,42,12976.6156,0,0,1,0,0,4,-87.72,41.93,9558.203125,30,0.0001180081,622.1301879883,urban centre,"Cold, no dry season, hot summer"
84,84,3899.6,6253.394134,7.4280949960000004,0.9982514520000001,0.159776957,133.85644,1858.241614,6875.255474,7.27,0.184291023,9.12,0.73,12.49315068,24.28,7.23,13.48,58,24,18,5227.604011,0,0,1,0,0,2,-87.71,41.96,7771.3393554688,6,0.00011231610000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
85,85,4605.0,7423.315344,7.723494637,0.9986966660000001,0.17789669300000002,146.055572,2508.723012,8159.544066,7.04,0.183918933,7.54,0.5700000000000001,13.22807018,27.47,6.25,12.0,60,16,24,14394.47754,0,0,1,0,0,5,-87.67,42.01,14251.1025390625,25,0.0001087103,293.2325744629,urban centre,"Cold, no dry season, hot summer"
86,86,4302.2,6807.156435,7.464242469,0.9981891490000001,0.13903004700000002,136.827436,1987.498407,7458.149311,7.23,0.17204660100000002,8.05,0.66,12.1969697,23.32,7.02,12.31,38,26,36,14496.64501,0,0,1,0,0,5,-87.71,41.96,7771.3393554688,6,0.00011231610000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
87,87,3898.4,6505.429566,7.499094221,0.99828544,0.162600926,135.524104,2054.056244,7172.599922,6.95,0.195725971,6.27,0.44,14.25,25.67,6.97,8.84,56,18,26,14856.49621,0,0,1,0,0,5,-87.65,41.95,17047.412109375,20,0.0001140828,312.6183166504,urban centre,"Cold, no dry season, hot summer"
88,88,3829.25,6053.42039,7.507196503,0.9985107590000001,0.18597449900000002,135.3942175,1921.339176,6562.474647,6.8,0.16837289400000002,7.63,0.58,13.15517241,92.0,32.81,10.57,58,16,26,27109.32486,0,0,1,0,0,5,-87.66,41.99,13478.3759765625,21,0.00011229560000000001,346.2182312012,urban centre,"Cold, no dry season, hot summer"
89,89,3583.2,5679.700104,7.32666054,0.997496621,0.163584907,130.11156,1740.395808,6136.347293,7.06,0.25148734100000003,7.82,0.59,13.25423729,36.51,9.19,12.7,46,22,32,17032.8857,0,0,1,0,0,5,-87.64,41.94,14983.0322265625,20,0.00011620700000000001,264.8895874023,urban centre,"Cold, no dry season, hot summer"
90,90,3762.2,6104.807162,7.375711838,0.9981176190000001,0.14644173500000002,129.398866,1809.189793,6668.190376,7.31,0.206023527,7.06,0.42,16.80952381,33.4,9.49,9.85,42,22,36,24195.07919,0,0,1,0,0,5,-87.62,41.9,10280.9833984375,0,0.0001236745,0.0,urban centre,"Cold, no dry season, hot summer"
91,91,4263.6,7026.51358,7.662822116,0.9988009440000001,0.198553256,145.008232,2289.495196,7789.543066,7.23,0.156582992,7.26,0.5700000000000001,12.73684211,33.12,7.88,11.78,50,22,28,1516.565482,0,0,0,1,0,1,-87.77,42.0,1853.4409179688,30,9.94031e-05,387.479888916,urban centre,"Cold, no dry season, hot summer"
92,92,3754.5,6184.762683,7.455000909,0.9979727810000001,0.133264631,132.40428,1963.678171,6773.665101,7.28,0.204094183,6.51,0.44,14.79545455,23.54,5.09,8.28,62,16,22,1525.668287,0,0,0,1,0,1,-87.6,41.77,3389.96875,20,9.803080000000001e-05,477.6181335449,urban centre,"Cold, no dry season, hot summer"
93,93,3922.0,6211.880752,7.3285147760000005,0.997409732,0.115492697,128.44909,1792.812839,6772.823474,6.97,0.274192039,8.12,0.75,10.82666667,42.56,8.3,13.02,26,32,42,1573.456083,0,0,0,1,0,1,-87.62,41.72,2047.1923828125,31,9.10542e-05,454.4988708496,urban centre,"Cold, no dry season, hot summer"
94,94,3938.2,6515.643235,7.441452231,0.9980579980000001,0.140694167,130.040702,1962.827788,7079.726554,6.94,0.22803362500000002,8.71,0.78,11.16666667,32.4,9.29,15.59,34,30,36,3323.504197,0,0,0,1,0,1,-87.71,41.98,5316.3818359375,8,0.0001096169,547.6737670898,urban centre,"Cold, no dry season, hot summer"
95,95,4372.0,6764.804687,7.522258957,0.9973907280000001,0.140662742,147.185508,2095.998031,7334.777083,7.5600000000000005,0.127059317,5.7,0.24,23.75,17.16,4.28,5.83,76,8,16,2295.676492,0,0,0,1,0,1,-87.59,41.78,4530.1040039062,22,0.00010256950000000001,365.9876403809,urban centre,"Cold, no dry season, hot summer"
96,96,4161.2,6664.001084,7.301430242,0.9972602150000001,0.094230148,130.027468,1823.031635,7320.863078,7.19,0.281670966,8.18,0.73,11.20547945,44.97,8.98,12.95,20,34,46,3342.061038,0,0,0,1,0,1,-87.64,41.72,2843.1069335938,26,9.44316e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
97,97,4639.0,7496.721373,7.606207454,0.998395734,0.141848514,147.8107,2241.40962,8177.517096,7.13,0.158682963,6.37,0.56,11.375,44.29,9.97,11.26,44,24,32,3770.929248,0,0,0,1,0,2,-87.79,41.98,3384.1481933594,4,0.0001024693,449.0269470215,urban centre,"Cold, no dry season, hot summer"
98,98,4857.2,7705.936385,7.61145343,0.998300802,0.128707236,148.204178,2324.554528,8472.403507,7.38,0.180582664,6.13,0.34,18.02941176,21.03,4.6,6.85,68,10,22,4073.250113,0,0,0,1,0,2,-87.64,41.76,4080.0087890625,27,9.67302e-05,583.1841430664,urban centre,"Cold, no dry season, hot summer"
99,99,4398.2,6953.882538,7.327724642,0.9979016730000001,0.116001958,139.433988,1841.728178,7523.966662,7.07,0.251594138,6.39,0.54,11.83333333,34.54,8.88,10.15,28,36,36,4111.634568,0,0,0,1,0,2,-87.62,41.7,4948.0131835938,24,8.992160000000001e-05,340.7302246094,urban centre,"Cold, no dry season, hot summer"
100,100,4349.8,6870.700232,7.621890204,0.998648964,0.17965382200000002,143.189272,2166.767084,7517.978338,7.21,0.194671435,7.49,0.49,15.28571429,21.04,8.61,10.73,38,28,34,5869.66823,0,0,0,1,0,2,-87.78,41.96,5935.140625,6,0.0001058305,515.3065795898,urban centre,"Cold, no dry season, hot summer"
101,101,4217.25,6798.457617,7.522479824,0.9979002720000001,0.140709187,134.3737075,2125.990772,7479.104081,6.71,0.24822349200000002,7.53,0.71,10.6056338,33.9,8.94,13.57,30,30,40,5124.353441,0,0,0,1,0,2,-87.72,41.8,4810.396484375,24,0.0001174226,595.4243164062,urban centre,"Cold, no dry season, hot summer"
102,102,3828.8,6237.021734,7.385468143,0.997900636,0.133970882,128.898728,1869.37408,6825.812462,7.21,0.237028853,7.73,0.63,12.26984127,42.47,7.21,11.83,30,30,40,5314.407624,0,0,0,1,0,2,-87.65,41.74,3933.5322265625,20,9.489290000000001e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
103,103,3824.25,6064.608434,7.393346755,0.997821256,0.136440252,133.8900325,1872.741663,6701.449096,7.09,0.200126524,6.97,0.56,12.44642857,42.02,7.55,9.94,78,10,12,7420.107108,0,0,0,1,0,3,-87.68,41.97,7223.0830078125,21,0.00011416720000000001,456.9929504395,urban centre,"Cold, no dry season, hot summer"
104,104,4592.8,7481.007887,7.4991718590000005,0.9981723490000001,0.121569647,141.25282,2134.600695,8325.977365,7.13,0.233885258,7.55,0.6000000000000001,12.58333333,36.13,8.35,10.24,34,34,32,7444.769355,0,0,0,1,0,3,-87.72,41.86,7815.3471679688,26,0.0001246777,622.1301879883,urban centre,"Cold, no dry season, hot summer"
105,105,4928.2,7830.64406,7.596656618,0.9984606480000001,0.133846201,150.866364,2234.481212,8518.496002,7.21,0.225692624,7.36,0.54,13.62962963,32.16,7.38,10.36,36,30,34,7926.011345,0,0,0,1,0,3,-87.72,41.79,7036.234375,20,0.0001127941,559.81640625,urban centre,"Cold, no dry season, hot summer"
106,106,4941.8,7897.52029,7.683625005,0.9984976910000001,0.144059733,154.118774,2408.332399,8538.094523,7.39,0.16144528700000002,5.6,0.38,14.73684211,23.26,7.03,6.33,58,18,24,8625.415547,0,0,0,1,0,3,-87.7,41.97,9115.4169921875,22,0.00011100920000000001,548.8057250977,urban centre,"Cold, no dry season, hot summer"
107,107,3912.2,6013.141058,7.470799739,0.9982306999999999,0.158035101,135.30987,1843.193492,6460.537426,7.49,0.17023336700000002,8.5,0.6000000000000001,14.16666667,28.86,8.75,11.71,52,20,28,10035.52912,0,0,0,1,0,4,-87.75,41.92,4930.1440429688,26,0.00011574690000000001,586.5223999023,urban centre,"Cold, no dry season, hot summer"
108,108,4572.4,7207.026741,7.425136759,0.9978148950000001,0.10600135000000001,142.021168,2012.201584,7873.245837,7.04,0.18971938900000002,6.64,0.56,11.85714286,44.96,9.09,9.88,34,28,38,9751.121383,0,0,0,1,0,3,-87.7,41.91,5566.9799804688,26,0.000122221,711.1498413086,urban centre,"Cold, no dry season, hot summer"
109,109,4521.25,6942.538272,7.6268344710000004,0.998606608,0.166710575,145.5342275,2165.625414,7550.28583,6.89,0.214260683,7.68,0.64,12.0,26.31,10.44,11.5,50,20,30,10353.1733,0,0,0,1,0,4,-87.66,41.99,13478.3759765625,21,0.00011229560000000001,346.2182312012,urban centre,"Cold, no dry season, hot summer"
110,110,3513.2,5914.216337,7.253190032,0.9975505120000001,0.12643142200000002,122.707472,1735.943777,6503.421592,7.14,0.230216055,7.13,0.52,13.71153846,38.11,19.99,10.54,32,32,36,10826.53585,0,0,0,1,0,4,-87.7,41.81,6342.8110351562,20,0.0001166916,622.1301879883,urban centre,"Cold, no dry season, hot summer"
111,111,4046.2,6551.969039,7.419225517,0.997760599,0.12375313400000001,131.911226,1942.00955,7138.391294,6.89,0.23603826900000002,7.74,0.68,11.38235294,34.67,9.25,11.59,30,32,38,10768.0966,0,0,0,1,0,4,-87.7,41.79,8945.6611328125,30,0.00010963820000000001,606.5517578125,urban centre,"Cold, no dry season, hot summer"
112,112,3855.25,6751.155519,7.506561067,0.9981982770000001,0.151040759,132.48009,2119.132215,7446.645291,6.91,0.20343375,8.36,0.63,13.26984127,32.21,5.96,8.88,62,16,22,13282.96586,0,0,0,1,0,4,-87.67,42.02,9661.49609375,27,0.00010986040000000001,223.6747283936,urban centre,"Cold, no dry season, hot summer"
113,113,4031.0,6485.554863,7.39499092,0.9977820660000001,0.123115503,134.969842,1945.130781,7109.053383,7.04,0.198745849,9.25,0.68,13.60294118,48.73,11.35,12.99,38,26,36,12976.6156,0,0,0,1,0,4,-87.72,41.93,9558.203125,30,0.0001180081,622.1301879883,urban centre,"Cold, no dry season, hot summer"
114,114,4155.0,6720.248706,7.398612718,0.997667308,0.117635585,134.164774,1974.033573,7350.578358,7.3,0.157051608,5.88,0.46,12.7826087,22.84,5.86,8.38,36,26,38,5227.604011,0,0,0,1,0,2,-87.71,41.96,7771.3393554688,6,0.00011231610000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
115,115,4154.6,6400.863062,7.426426038,0.997335768,0.12274853100000001,138.963496,1954.803755,6983.314227,6.7,0.19673035300000002,7.54,0.68,11.08823529,32.04,15.0,12.48,44,22,34,14394.47754,0,0,0,1,0,5,-87.67,42.01,14251.1025390625,25,0.0001087103,293.2325744629,urban centre,"Cold, no dry season, hot summer"
116,116,4215.2,6637.961078,7.355681851,0.997601637,0.11476800200000001,137.351828,1878.579628,7215.95818,7.09,0.184058772,5.89,0.45,13.08888889,25.37,7.65,9.26,26,34,40,14496.64501,0,0,0,1,0,5,-87.71,41.96,7771.3393554688,6,0.00011231610000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
117,117,4438.0,7072.75205,7.522569542,0.9975457390000001,0.133296129,144.019886,2189.438033,7750.146832,7.04,0.203769252,5.54,0.4,13.85,19.7,5.88,8.41,50,20,30,14856.49621,0,0,0,1,0,5,-87.66,41.95,9381.4833984375,22,0.0001166368,421.2712097168,urban centre,"Cold, no dry season, hot summer"
118,118,3920.6,6225.382004,7.478061474,0.9979681020000001,0.16824797200000002,135.806766,2006.399216,6824.65662,6.99,0.20335697,6.64,0.5,13.28,28.77,8.92,8.22,54,20,26,27109.32486,0,0,0,1,0,5,-87.66,41.99,13478.3759765625,21,0.00011229560000000001,346.2182312012,urban centre,"Cold, no dry season, hot summer"
119,119,4717.0,7942.401641,7.6595732640000005,0.9982356240000001,0.124235037,148.433785,2482.875584,8673.846789,6.51,0.16657663,7.66,0.6000000000000001,12.76666667,26.45,9.63,10.9,54,18,28,17032.8857,0,0,0,1,0,5,-87.64,41.94,14983.0322265625,20,0.00011620700000000001,264.8895874023,urban centre,"Cold, no dry season, hot summer"
120,120,2853.666667,4328.205235,6.86026796,0.9957858780000001,0.10385159999999999,105.3125067,1178.637412,4692.43145,6.68,0.185114737,5.95,0.45,13.22222222,114.99,14.23,8.39,38,24,38,24195.07919,0,0,0,1,0,5,-87.62,41.9,10280.9833984375,0,0.0001236745,0.0,urban centre,"Cold, no dry season, hot summer"
121,121,3894.25,6256.483549,7.425105824,0.997292473,0.112384205,131.323685,1955.539666,6827.096895,6.9,0.20172646300000002,7.87,0.63,12.49206349,51.12,16.33,10.91,56,18,26,1516.565482,0,0,0,0,1,1,-87.77,42.0,1853.4409179688,30,9.94031e-05,387.479888916,urban centre,"Cold, no dry season, hot summer"
122,122,3582.0,5698.272034,7.48521208,0.9981802270000001,0.15789589,126.88017,1910.235634,6259.703131,7.26,0.198091019,6.78,0.37,18.32432432,15.96,5.06,7.15,76,8,16,1525.668287,0,0,0,0,1,1,-87.6,41.76,2440.220703125,29,9.61489e-05,541.1519775391,urban centre,"Cold, no dry season, hot summer"
123,123,3207.6,5192.280469,7.179360923,0.997347548,0.121624771,114.723398,1510.312174,5646.727847,6.73,0.27872128900000004,7.68,0.68,11.29411765,56.72,10.21,12.31,20,36,44,1573.456083,0,0,0,0,1,1,-87.62,41.72,2047.1923828125,31,9.10542e-05,454.4988708496,urban centre,"Cold, no dry season, hot summer"
124,124,3510.4,5631.554288,7.21309342,0.996492212,0.11415104100000001,123.633842,1677.102986,6138.478773,6.46,0.203943056,8.63,0.8200000000000001,10.52439024,32.66,10.16,14.37,26,34,40,3323.504197,0,0,0,0,1,1,-87.71,41.98,5316.3818359375,8,0.0001096169,547.6737670898,urban centre,"Cold, no dry season, hot summer"
125,125,2471.8,3792.927868,6.733543985,0.99493818,0.09631231700000001,100.110898,1021.217173,4038.691573,8.21,0.15978840800000002,5.92,0.21,28.19047619,12.95,4.5600000000000005,5.57,64,16,20,2295.676492,0,0,0,0,1,1,-87.59,41.78,4530.1040039062,22,0.00010256950000000001,365.9876403809,urban centre,"Cold, no dry season, hot summer"
126,126,3777.8,6061.544875,7.265979787,0.99720438,0.099703968,126.074456,1693.029987,6610.874846,6.93,0.297685607,8.04,0.74,10.86486486,49.74,9.61,13.09,24,36,40,3342.061038,0,0,0,0,1,1,-87.64,41.72,2843.1069335938,26,9.44316e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
127,127,3867.8,6226.389787,7.469114349,0.9983505960000001,0.16603979600000002,130.996906,1914.447172,6780.247533,7.06,0.213298391,6.31,0.56,11.26785714,37.07,7.35,10.06,44,26,30,3770.929248,0,0,0,0,1,2,-87.79,41.98,3384.1481933594,4,0.0001024693,449.0269470215,urban centre,"Cold, no dry season, hot summer"
128,128,4522.25,7282.99429,7.595992891,0.998142406,0.146277453,146.08487,2214.770594,7804.845742,7.29,0.18804367,7.26,0.42,17.28571429,19.89,8.83,6.4,62,14,24,4073.250113,0,0,0,0,1,2,-87.64,41.76,4080.0087890625,27,9.67302e-05,583.1841430664,urban centre,"Cold, no dry season, hot summer"
129,129,3530.0,5708.763131,7.141126948,0.997290666,0.11006317600000001,120.88153,1543.533463,6251.188455,6.72,0.25486573500000004,7.08,0.61,11.60655738,36.62,10.36,11.66,30,36,34,4111.634568,0,0,0,0,1,2,-87.62,41.7,4948.0131835938,24,8.992160000000001e-05,340.7302246094,urban centre,"Cold, no dry season, hot summer"
130,130,3986.2,6289.903485,7.229994902,0.9964256880000001,0.08610672300000001,135.17044,1794.394471,6826.765732,6.88,0.21980017000000002,7.23,0.64,11.296875,41.09,10.0,11.12,26,34,40,5869.66823,0,0,0,0,1,2,-87.77,41.96,5952.505859375,26,0.00010619770000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
131,131,4164.4,6503.213017,7.344752,0.997395859,0.10142321400000001,134.354308,1826.001407,7110.816222,7.05,0.254565088,7.47,0.64,11.671875,33.42,9.11,12.27,24,34,42,5124.353441,0,0,0,0,1,2,-87.72,41.8,4810.396484375,24,0.0001174226,595.4243164062,urban centre,"Cold, no dry season, hot summer"
132,132,4016.6,6377.865551,7.314781732,0.9970418740000001,0.085974622,129.291456,1835.369078,6962.034088,6.94,0.24240044,8.52,0.65,13.10769231,69.04,8.22,11.59,30,30,40,5314.407624,0,0,0,0,1,2,-87.65,41.74,3933.5322265625,20,9.489290000000001e-05,515.3065795898,urban centre,"Cold, no dry season, hot summer"
133,133,4584.4,7192.828373,7.522321844,0.9975956450000001,0.11031829500000001,149.6342,2158.486071,7826.964043,7.3,0.198316091,5.39,0.37,14.56756757,27.21,7.89,7.1,68,14,18,7420.107108,0,0,0,0,1,3,-87.68,41.97,7223.0830078125,21,0.00011416720000000001,456.9929504395,urban centre,"Cold, no dry season, hot summer"
134,134,3990.2,6289.415027,7.412800703,0.997894618,0.129819957,133.20579,1879.573146,6845.11754,7.15,0.18987509800000002,5.77,0.43,13.41860465,36.1,7.68,7.77,38,30,32,7444.769355,0,0,0,0,1,3,-87.72,41.85,12042.146484375,28,0.0001242616,604.3263549805,urban centre,"Cold, no dry season, hot summer"
135,135,4346.0,7022.495176,7.573885917,0.998460612,0.15510467900000002,143.4639075,2146.834359,7655.593255,7.24,0.191807059,6.94,0.59,11.76271186,24.69,5.97,9.17,40,28,32,7926.011345,0,0,0,0,1,3,-87.72,41.79,7036.234375,20,0.0001127941,559.81640625,urban centre,"Cold, no dry season, hot summer"
136,136,2873.0,4558.635529,6.555779466,0.9854741960000001,0.05046794,109.709496,1174.131939,4921.570913,6.31,0.14863979200000002,5.84,0.48,12.16666667,39.86,9.89,6.97,70,10,20,8625.415547,0,0,0,0,1,3,-87.69,41.97,7681.1181640625,20,0.0001113105,521.5871582031,urban centre,"Cold, no dry season, hot summer"
137,137,4734.2,7363.296118,7.517142199,0.9977274270000001,0.12728224600000002,146.435206,2122.984631,7933.036652,7.14,0.238970766,8.28,0.64,12.9375,35.97,16.31,14.29,42,24,34,9021.130317,0,0,0,0,1,3,-87.75,41.92,4930.1440429688,26,0.00011574690000000001,586.5223999023,urban centre,"Cold, no dry season, hot summer"
138,138,4614.0,7352.866684,7.481247363,0.998023571,0.11422338600000001,147.896854,2063.713685,7967.576107,7.25,0.19146980800000002,7.27,0.48,15.14583333,21.91,7.21,9.04,38,26,36,9751.121383,0,0,0,0,1,3,-87.7,41.91,5566.9799804688,26,0.000122221,711.1498413086,urban centre,"Cold, no dry season, hot summer"
139,139,4163.2,6661.19969,7.506370259,0.997818654,0.119205235,136.169854,2116.369829,7376.081359,6.96,0.22898819,6.93,0.55,12.6,22.68,5.85,9.41,58,18,24,10353.1733,0,0,0,0,1,4,-87.66,41.99,13478.3759765625,21,0.00011229560000000001,346.2182312012,urban centre,"Cold, no dry season, hot summer"
140,140,4215.0,6774.456815,7.391594398,0.997785762,0.11060262900000001,134.037966,1938.149065,7428.1024,7.23,0.22057019700000002,7.34,0.61,12.03278689,24.73,6.94,9.31,30,32,38,11231.99953,0,0,0,0,1,4,-87.69,41.81,7223.689453125,30,0.00011528640000000001,606.5517578125,urban centre,"Cold, no dry season, hot summer"
141,141,4303.4,6770.679975,7.48953241,0.998136369,0.133908998,139.729502,1977.22408,7311.618984,6.94,0.23266481500000002,7.05,0.64,11.015625,34.02,8.84,10.48,26,34,40,10768.0966,0,0,0,0,1,4,-87.7,41.79,8945.6611328125,30,0.00010963820000000001,606.5517578125,urban centre,"Cold, no dry season, hot summer"
142,142,3787.8,6218.788967,7.477074074,0.9979718630000001,0.167958468,131.495098,2005.637243,6849.392445,7.14,0.159686556,4.36,0.35000000000000003,12.45714286,21.88,4.88,6.48,70,14,16,13282.96586,0,0,0,0,1,4,-87.67,42.02,9661.49609375,27,0.00010986040000000001,223.6747283936,urban centre,"Cold, no dry season, hot summer"
143,143,3687.2,6198.398583,7.377919716,0.9978984380000001,0.139295099,130.044286,1894.454976,6840.42425,7.1,0.203412597,8.82,0.7000000000000001,12.6,22.57,8.28,11.45,40,30,30,12309.78918,0,0,0,0,1,4,-87.72,41.93,9558.203125,30,0.0001180081,622.1301879883,urban centre,"Cold, no dry season, hot summer"
144,144,3749.6,6110.554102,7.416736299,0.997996133,0.141131586,130.16775,1876.283715,6695.122182,6.97,0.21512351700000001,8.05,0.64,12.578125,36.43,8.7,12.01,36,30,34,12139.13378,0,0,0,0,1,4,-87.71,41.96,7771.3393554688,6,0.00011231610000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
145,145,3526.0,5551.969498,7.322332518,0.9969614050000001,0.148369571,123.006654,1787.39419,6076.30514,7.1,0.17717284,4.52,0.29,15.5862069,30.12,11.89,6.07,60,18,22,14394.47754,0,0,0,0,1,5,-87.67,42.01,14251.1025390625,25,0.0001087103,293.2325744629,urban centre,"Cold, no dry season, hot summer"
146,146,3647.0,6109.620218,7.365250671,0.9974368220000001,0.12444681900000001,127.491998,1877.822828,6711.714571,7.06,0.242209371,7.89,0.7000000000000001,11.27142857,43.45,14.19,12.51,28,32,40,14496.64501,0,0,0,0,1,5,-87.71,41.96,7771.3393554688,6,0.00011231610000000001,533.1104736328,urban centre,"Cold, no dry season, hot summer"
147,147,3688.0,5803.11663,7.489366454,0.9986225790000001,0.20300586,130.39229,1838.466998,6363.230183,6.37,0.272970944,8.35,0.61,13.68852459,45.9,14.37,14.96,56,14,30,14856.49621,0,0,0,0,1,5,-87.66,41.95,9381.4833984375,22,0.0001166368,421.2712097168,urban centre,"Cold, no dry season, hot summer"
148,148,4105.4,6560.016676,7.523021319,0.9981334020000001,0.14542137,138.713964,2068.353956,7219.835514,7.25,0.20556746,5.5,0.41000000000000003,13.41463415,23.12,4.44,8.27,64,36,0,27109.32486,0,0,0,0,1,5,-87.66,41.99,13478.3759765625,21,0.00011229560000000001,346.2182312012,urban centre,"Cold, no dry season, hot summer"
149,149,4019.2,6325.257474,7.43204467,0.9978749490000001,0.130488548,133.581368,1908.716453,6864.254037,6.89,0.28411681,7.93,0.6000000000000001,13.21666667,38.74,7.88,12.77,54,20,26,17032.8857,0,0,0,0,1,5,-87.64,41.94,14983.0322265625,20,0.00011620700000000001,264.8895874023,urban centre,"Cold, no dry season, hot summer"
150,150,3626.8,5733.792769,7.398909947,0.9983748720000001,0.176608377,132.132488,1712.329945,6265.163552,7.17,0.283760347,6.35,0.52,12.21153846,42.76,8.15,9.48,34,26,40,24195.07919,0,0,0,0,1,5,-87.62,41.9,10280.9833984375,0,0.0001236745,0.0,urban centre,"Cold, no dry season, hot summer"
